date,precipitation,temp_max,temp_min,wind,weather,temp_avg,year,month,day,season,temp_avg_imp,precip_imp,temp_avg_7d,precip_7d
2012-02-22,8.6,10,2.8,5.9,rain,6.4,2012,2,22,Winter,6.4,8.6,6.035714285714286,37.900000000000006
2012-02-23,0,8.3,2.8,3.9,sun,5.550000000000001,2012,2,23,Winter,5.550000000000001,0,6.078571428571428,36.10000000000001
2012-02-24,11.4,6.7,4.4,3.5,rain,5.550000000000001,2012,2,24,Winter,5.550000000000001,11.4,5.8428571428571425,30.200000000000006
2012-02-25,0,7.2,2.8,6.4,rain,5,2012,2,25,Winter,5,0,5.8,23.800000000000008
2012-02-26,1.3,5,-1.1,3.4,snow,1.95,2012,2,26,Winter,1.95,1.3,5.442857142857143,25.10000000000001
2012-02-27,0,6.7,-2.2,3,sun,2.25,2012,2,27,Winter,2.25,0,5.085714285714286,22.10000000000001
2012-02-28,3.6,6.7,-0.6,4.2,snow,3.0500000000000003,2012,2,28,Winter,3.0500000000000003,3.6,4.25,24.900000000000006
2012-02-29,0.8,5,1.1,7,snow,3.05,2012,2,29,Winter,3.05,0.8,3.7714285714285714,17.10000000000001
2012-03-01,0,6.1,1.1,3.1,sun,3.5999999999999996,2012,3,1,Spring,3.5999999999999996,0,3.492857142857143,17.10000000000001
2012-03-02,2,6.7,3.9,5.1,rain,5.3,2012,3,2,Spring,5.3,2,3.4571428571428564,7.700000000000006
2012-03-03,0,12.2,6.7,7,sun,9.45,2012,3,3,Spring,9.45,0,4.0928571428571425,7.700000000000006
2012-03-04,0,10.6,6.7,5.6,rain,8.65,2012,3,4,Spring,8.65,0,5.049999999999999,6.400000000000007
2012-03-05,6.9,7.8,1.1,6.2,rain,4.45,2012,3,5,Spring,4.45,6.9,5.364285714285714,13.300000000000008
2012-03-06,0.5,6.7,0,2.7,snow,3.35,2012,3,6,Spring,3.35,0.5,5.407142857142857,10.200000000000006
2012-03-07,0,8.9,-1.7,2.7,sun,3.6,2012,3,7,Spring,3.6,0,5.485714285714286,9.400000000000007
2012-03-08,0,15.6,0.6,2.5,sun,8.1,2012,3,8,Spring,8.1,0,6.128571428571428,9.400000000000007
2012-03-09,3.6,9.4,5,2.8,rain,7.2,2012,3,9,Spring,7.2,3.6,6.3999999999999995,11.000000000000007
2012-03-10,10.4,7.2,6.1,3.4,rain,6.65,2012,3,10,Spring,6.65,10.4,6,21.400000000000006
2012-03-11,13.7,6.7,2.8,5.8,rain,4.75,2012,3,11,Spring,4.75,13.7,5.442857142857142,35.10000000000001
2012-03-12,19.3,8.3,0.6,6.2,snow,4.45,2012,3,12,Spring,4.45,19.3,5.442857142857142,47.50000000000001
2012-03-13,9.4,5.6,0.6,5.3,snow,3.0999999999999996,2012,3,13,Spring,3.0999999999999996,9.4,5.407142857142857,56.400000000000006
2012-03-14,8.6,7.8,1.1,4.7,rain,4.45,2012,3,14,Spring,4.45,8.6,5.528571428571428,65
2012-03-15,23.9,11.1,5.6,5.8,snow,8.35,2012,3,15,Spring,8.35,23.9,5.564285714285714,88.9
2012-03-16,8.4,8.9,3.9,5.1,rain,6.4,2012,3,16,Spring,6.4,8.4,5.45,93.7
2012-03-17,9.4,10,0.6,3.8,snow,5.3,2012,3,17,Spring,5.3,9.4,5.257142857142857,92.7
2012-03-18,3.6,5,-0.6,2.7,rain,2.2,2012,3,18,Spring,2.2,3.6,4.892857142857143,82.60000000000001
2012-03-19,2,7.2,-1.1,3,rain,3.05,2012,3,19,Spring,3.05,2,4.692857142857142,65.30000000000001
2012-03-20,3.6,7.8,2.2,6.4,rain,5,2012,3,20,Spring,5,3.6,4.964285714285714,59.50000000000001
2012-03-21,1.3,8.9,1.1,2.5,rain,5,2012,3,21,Spring,5,1.3,5.042857142857143,52.2
2012-03-22,4.1,10,1.7,2.1,rain,5.85,2012,3,22,Spring,5.85,4.1,4.685714285714285,32.400000000000006
2012-03-23,0,12.2,0.6,2.8,sun,6.3999999999999995,2012,3,23,Spring,6.3999999999999995,0,4.685714285714285,24.000000000000007
2012-03-24,0,15,3.3,5.2,sun,9.15,2012,3,24,Spring,9.15,0,5.235714285714286,14.600000000000007
2012-03-25,0,13.3,2.2,2.7,rain,7.75,2012,3,25,Spring,7.75,0,6.028571428571428,11.000000000000007
2012-03-26,0,12.8,6.1,4.3,drizzle,9.45,2012,3,26,Spring,9.45,0,6.942857142857142,9.000000000000007
2012-03-27,4.8,14.4,6.7,3.8,rain,10.55,2012,3,27,Spring,10.55,4.8,7.735714285714286,10.200000000000006
2012-03-28,1.3,10.6,7.2,5.9,rain,8.9,2012,3,28,Spring,8.9,1.3,8.292857142857143,10.200000000000006
2012-03-29,27.4,10,6.1,4.4,rain,8.05,2012,3,29,Spring,8.05,27.4,8.607142857142858,33.50000000000001
2012-03-30,5.6,9.4,5,4.7,rain,7.2,2012,3,30,Spring,7.2,5.6,8.721428571428572,39.1
2012-03-31,13.2,10,2.8,3.4,rain,6.4,2012,3,31,Spring,6.4,13.2,8.328571428571427,52.300000000000004
2012-04-01,1.5,8.9,4.4,6.8,rain,6.65,2012,4,1,Spring,6.65,1.5,8.171428571428573,53.800000000000004
2012-04-02,0,16.7,4.4,3.1,sun,10.55,2012,4,2,Spring,10.55,0,8.328571428571427,53.800000000000004
2012-04-03,1.5,11.7,3.3,3.1,rain,7.5,2012,4,3,Spring,7.5,1.5,7.892857142857143,50.5
2012-04-04,0,10.6,2.8,2.1,sun,6.699999999999999,2012,4,4,Spring,6.699999999999999,0,7.578571428571428,49.2
2012-04-05,4.6,9.4,2.8,1.8,snow,6.1,2012,4,5,Spring,6.1,4.6,7.299999999999999,26.400000000000006
2012-04-06,0.3,11.1,3.3,2.6,rain,7.199999999999999,2012,4,6,Spring,7.199999999999999,0.3,7.299999999999999,21.100000000000005
2012-04-07,0,16.1,1.7,4.3,sun,8.9,2012,4,7,Spring,8.9,0,7.657142857142857,7.9000000000000075
2012-04-08,0,21.1,7.2,4.1,sun,14.15,2012,4,8,Spring,14.15,0,8.728571428571428,6.4000000000000075
2012-04-09,0,20,6.1,2.1,sun,13.05,2012,4,9,Spring,13.05,0,9.085714285714285,6.4000000000000075
2012-04-10,0,17.8,8.9,3.2,rain,13.350000000000001,2012,4,10,Spring,13.350000000000001,0,9.921428571428573,4.9000000000000075
2012-04-11,2.3,11.1,7.2,2.6,rain,9.15,2012,4,11,Spring,9.15,2.3,10.271428571428572,7.200000000000006
2012-04-12,0.5,13.9,5.6,2.6,rain,9.75,2012,4,12,Spring,9.75,0.5,10.792857142857143,3.100000000000007
2012-04-13,0,15,3.9,4,drizzle,9.45,2012,4,13,Spring,9.45,0,11.114285714285714,2.8000000000000074
2012-04-14,0,15.6,3.3,3,sun,9.45,2012,4,14,Spring,9.45,0,11.192857142857141,2.8000000000000074
2012-04-15,0,16.1,7.2,2.9,rain,11.65,2012,4,15,Spring,11.65,0,10.835714285714285,2.8000000000000074
2012-04-16,8.1,13.3,6.7,5.8,rain,10,2012,4,16,Spring,10,8.1,10.4,10.900000000000007
2012-04-17,1.8,10,4.4,2,rain,7.2,2012,4,17,Spring,7.2,1.8,9.52142857142857,12.700000000000006
2012-04-18,1.8,13.3,7.2,3.9,rain,10.25,2012,4,18,Spring,10.25,1.8,9.678571428571429,12.200000000000006
2012-04-19,10.9,13.9,5,2.6,rain,9.45,2012,4,19,Spring,9.45,10.9,9.635714285714284,22.60000000000001
2012-04-20,6.6,13.3,6.7,2.7,rain,10,2012,4,20,Spring,10,6.6,9.714285714285714,29.200000000000006
2012-04-21,0,20,4.4,2.3,sun,12.2,2012,4,21,Spring,12.2,0,10.107142857142858,29.200000000000006
2012-04-22,0,23.3,8.3,2.6,rain,15.8,2012,4,22,Spring,15.8,0,10.7,29.200000000000006
2012-04-23,0,21.7,8.9,3.5,sun,15.3,2012,4,23,Spring,15.3,0,11.457142857142857,21.10000000000001
2012-04-24,4.3,13.9,10,2.8,rain,11.95,2012,4,24,Spring,11.95,4.3,12.135714285714286,23.60000000000001
2012-04-25,10.7,16.7,8.9,2.6,rain,12.8,2012,4,25,Spring,12.8,10.7,12.5,32.50000000000001
2012-04-26,3.8,13.9,6.7,5.2,rain,10.3,2012,4,26,Spring,10.3,3.8,12.62142857142857,25.400000000000006
2012-04-27,0.8,13.3,6.1,4.8,rain,9.7,2012,4,27,Spring,9.7,0.8,12.578571428571427,19.600000000000005
2012-04-28,0,16.1,8.3,2.5,drizzle,12.200000000000001,2012,4,28,Spring,12.200000000000001,0,12.578571428571427,19.600000000000005
2012-04-29,4.3,15.6,8.9,1.6,rain,12.25,2012,4,29,Spring,12.25,4.3,12.071428571428571,23.900000000000006
2012-04-30,4.3,12.8,7.2,8,rain,10,2012,4,30,Spring,10,4.3,11.314285714285715,28.200000000000006
2012-05-01,0.5,11.7,6.1,6.4,rain,8.899999999999999,2012,5,1,Spring,8.899999999999999,0.5,10.878571428571428,24.400000000000006
2012-05-02,0.5,13.3,5.6,2.5,rain,9.45,2012,5,2,Spring,9.45,0.5,10.4,14.200000000000006
2012-05-03,18.5,11.1,7.2,3.4,rain,9.15,2012,5,3,Spring,9.15,18.5,10.235714285714284,28.900000000000006
2012-05-04,1.8,12.2,6.1,4.6,rain,9.149999999999999,2012,5,4,Spring,9.149999999999999,1.8,10.157142857142857,29.900000000000006
2012-05-05,0,13.3,5,2.3,sun,9.15,2012,5,5,Spring,9.15,0,9.721428571428572,29.900000000000006
2012-05-06,0,17.8,5,2.4,sun,11.4,2012,5,6,Spring,11.4,0,9.599999999999998,25.600000000000005
2012-05-07,0,23.9,6.1,2.2,sun,15,2012,5,7,Spring,15,0,10.314285714285713,21.300000000000004
2012-05-08,0,18.3,9.4,3,sun,13.850000000000001,2012,5,8,Spring,13.850000000000001,0,11.02142857142857,20.800000000000004
2012-05-09,0,13.3,6.7,3.9,rain,10,2012,5,9,Spring,10,0,11.1,20.300000000000004
2012-05-10,0,14.4,3.9,3,sun,9.15,2012,5,10,Spring,9.15,0,11.1,1.8000000000000058
2012-05-11,0,18.3,4.4,4.3,sun,11.350000000000001,2012,5,11,Spring,11.350000000000001,0,11.414285714285715,5.828670879282072e-15
2012-05-12,0,24.4,6.7,3.4,sun,15.549999999999999,2012,5,12,Spring,15.549999999999999,0,12.328571428571427,5.828670879282072e-15
2012-05-13,0,25.6,9.4,4.2,sun,17.5,2012,5,13,Spring,17.5,0,13.200000000000001,5.828670879282072e-15
2012-05-14,0,26.7,12.8,3.8,sun,19.75,2012,5,14,Spring,19.75,0,13.87857142857143,5.828670879282072e-15
2012-05-15,0,24.4,9.4,4.1,drizzle,16.9,2012,5,15,Spring,16.9,0,14.314285714285715,5.828670879282072e-15
2012-05-16,0,19.4,9.4,3.5,sun,14.399999999999999,2012,5,16,Spring,14.399999999999999,0,14.942857142857141,5.828670879282072e-15
2012-05-17,0,17.8,6.7,2.9,rain,12.25,2012,5,17,Spring,12.25,0,15.385714285714284,5.828670879282072e-15
2012-05-18,0,15.6,7.8,3.1,rain,11.7,2012,5,18,Spring,11.7,0,15.435714285714285,5.828670879282072e-15
2012-05-19,0,19.4,7.2,1.5,sun,13.299999999999999,2012,5,19,Spring,13.299999999999999,0,15.114285714285714,5.828670879282072e-15
2012-05-20,6.4,14.4,11.7,1.3,rain,13.05,2012,5,20,Spring,13.05,6.4,14.478571428571428,6.400000000000007
2012-05-21,14,16.7,10,4,rain,13.35,2012,5,21,Spring,13.35,14,13.564285714285713,20.400000000000006
2012-05-22,6.1,12.8,8.9,4.8,rain,10.850000000000001,2012,5,22,Spring,10.850000000000001,6.1,12.7,26.500000000000007
2012-05-23,0.3,14.4,8.9,6.3,rain,11.65,2012,5,23,Spring,11.65,0.3,12.307142857142855,26.800000000000004
2012-05-24,0,17.2,8.9,3.3,rain,13.05,2012,5,24,Spring,13.05,0,12.421428571428573,26.800000000000004
2012-05-25,0,22.2,8.9,3.1,rain,15.55,2012,5,25,Spring,15.55,0,12.971428571428572,26.800000000000004
2012-05-26,0,22.2,8.9,3.6,sun,15.55,2012,5,26,Spring,15.55,0,13.292857142857143,26.800000000000004
2012-05-27,0,17.2,11.7,3.7,sun,14.45,2012,5,27,Spring,14.45,0,13.492857142857144,20.400000000000006
2012-05-28,0,16.7,10,3.4,rain,13.35,2012,5,28,Spring,13.35,0,13.492857142857144,6.400000000000006
2012-05-29,0,16.1,7.8,1.8,sun,11.950000000000001,2012,5,29,Spring,11.950000000000001,0,13.65,0.3000000000000058
2012-05-30,0.3,18.9,11.1,1.5,rain,15,2012,5,30,Spring,15,0.3,14.12857142857143,0.3000000000000058
2012-05-31,3.8,17.8,12.2,2.7,rain,15,2012,5,31,Spring,15,3.8,14.407142857142857,4.100000000000006
2012-06-01,6.6,20,12.8,3.7,rain,16.4,2012,6,1,Summer,16.4,6.6,14.528571428571428,10.700000000000005
2012-06-02,0.3,18.9,10.6,3.7,rain,14.75,2012,6,2,Summer,14.75,0.3,14.414285714285713,11.000000000000005
2012-06-03,0,17.2,9.4,2.9,sun,13.3,2012,6,3,Summer,13.3,0,14.25,11.000000000000005
2012-06-04,1.3,12.8,8.9,3.1,rain,10.850000000000001,2012,6,4,Summer,10.850000000000001,1.3,13.892857142857142,12.300000000000006
2012-06-05,16,13.3,8.3,3.3,rain,10.8,2012,6,5,Summer,10.8,16,13.728571428571428,28.300000000000004
2012-06-06,0,16.1,6.1,3.4,sun,11.100000000000001,2012,6,6,Summer,11.100000000000001,0,13.171428571428573,28.000000000000007
2012-06-07,16.5,16.1,8.9,3.5,rain,12.5,2012,6,7,Summer,12.5,16.5,12.814285714285715,40.7
2012-06-08,1.5,15,8.3,3,rain,11.65,2012,6,8,Summer,11.65,1.5,12.135714285714286,35.60000000000001
2012-06-09,0,17.2,8.3,4.7,rain,12.75,2012,6,9,Summer,12.75,0,11.85,35.300000000000004
2012-06-10,0,18.9,10,2.9,sun,14.45,2012,6,10,Summer,14.45,0,12.014285714285714,35.300000000000004
2012-06-11,0,23.3,10,1.8,rain,16.65,2012,6,11,Summer,16.65,0,12.842857142857142,34.00000000000001
2012-06-12,0.8,18.3,12.8,3.9,rain,15.55,2012,6,12,Summer,15.55,0.8,13.52142857142857,18.800000000000004
2012-06-13,0,16.1,11.1,4.3,sun,13.600000000000001,2012,6,13,Summer,13.600000000000001,0,13.878571428571428,18.800000000000004
2012-06-14,0,17.2,10,2.7,sun,13.6,2012,6,14,Summer,13.6,0,14.035714285714286,2.3000000000000056
2012-06-15,0,22.2,9.4,1.7,sun,15.8,2012,6,15,Summer,15.8,0,14.628571428571428,0.8000000000000056
2012-06-16,0,21.1,15,4.1,rain,18.05,2012,6,16,Summer,18.05,0,15.385714285714286,0.8000000000000056
2012-06-17,0,18.9,11.7,6.4,sun,15.299999999999999,2012,6,17,Summer,15.299999999999999,0,15.507142857142856,0.8000000000000056
2012-06-18,3,17.2,10,3.8,rain,13.6,2012,6,18,Summer,13.6,3,15.071428571428571,3.8000000000000056
2012-06-19,1,19.4,10,3,rain,14.7,2012,6,19,Summer,14.7,1,14.95,4.000000000000005
2012-06-20,0,24.4,10,3,sun,17.2,2012,6,20,Summer,17.2,0,15.464285714285714,4.000000000000005
2012-06-21,0,23.9,11.7,2.1,sun,17.799999999999997,2012,6,21,Summer,17.799999999999997,0,16.064285714285713,4.000000000000005
2012-06-22,15.7,13.9,11.7,1.9,rain,12.8,2012,6,22,Summer,12.8,15.7,15.635714285714284,19.700000000000006
2012-06-23,8.6,15.6,9.4,2.5,rain,12.5,2012,6,23,Summer,12.5,8.6,14.842857142857142,28.300000000000004
2012-06-24,0,19.4,9.4,2,drizzle,14.399999999999999,2012,6,24,Summer,14.399999999999999,0,14.714285714285712,28.300000000000004
2012-06-25,0.5,19.4,11.1,3.1,rain,15.25,2012,6,25,Summer,15.25,0.5,14.95,25.800000000000004
2012-06-26,0,18.3,10.6,3.4,rain,14.45,2012,6,26,Summer,14.45,0,14.914285714285713,24.800000000000004
2012-06-27,0,22.8,8.9,1.8,sun,15.850000000000001,2012,6,27,Summer,15.850000000000001,0,14.721428571428572,24.800000000000004
2012-06-28,0,22.2,11.7,2.5,rain,16.95,2012,6,28,Summer,16.95,0,14.6,24.800000000000004
2012-06-29,0.3,21.7,15,1.9,rain,18.35,2012,6,29,Summer,18.35,0.3,15.392857142857142,9.400000000000006
2012-06-30,3,20,13.3,2.4,rain,16.65,2012,6,30,Summer,16.65,3,15.985714285714284,3.8000000000000065
2012-07-01,0,20,12.2,2.3,rain,16.1,2012,7,1,Summer,16.1,0,16.228571428571428,3.8000000000000065
2012-07-02,2,18.9,11.7,2.1,rain,15.299999999999999,2012,7,2,Summer,15.299999999999999,2,16.235714285714284,5.300000000000006
2012-07-03,5.8,18.3,10.6,6,rain,14.45,2012,7,3,Summer,14.45,5.8,16.235714285714284,11.100000000000007
2012-07-04,0,20.6,9.4,3.8,sun,15,2012,7,4,Summer,15,0,16.114285714285714,11.100000000000007
2012-07-05,0,24.4,10.6,3.1,drizzle,17.5,2012,7,5,Summer,17.5,0,16.192857142857143,11.100000000000007
2012-07-06,0,25,11.1,2.1,sun,18.05,2012,7,6,Summer,18.05,0,16.15,10.800000000000006
2012-07-07,0,26.7,12.8,3.8,sun,19.75,2012,7,7,Summer,19.75,0,16.59285714285714,7.800000000000006
2012-07-08,0,28.3,14.4,2.8,rain,21.35,2012,7,8,Summer,21.35,0,17.34285714285714,7.800000000000006
2012-07-09,1.5,25,12.8,2,rain,18.9,2012,7,9,Summer,18.9,1.5,17.857142857142858,7.300000000000006
2012-07-10,0,23.9,11.1,2.3,drizzle,17.5,2012,7,10,Summer,17.5,0,18.292857142857144,1.5000000000000062
2012-07-11,0,27.8,13.3,2.9,fog,20.55,2012,7,11,Summer,20.55,0,19.085714285714285,1.5000000000000062
2012-07-12,0,25.6,13.3,2.7,drizzle,19.450000000000003,2012,7,12,Summer,19.450000000000003,0,19.364285714285717,1.5000000000000062
2012-07-13,0.5,23.3,13.9,2.2,rain,18.6,2012,7,13,Summer,18.6,0.5,19.442857142857143,2.000000000000006
2012-07-14,0,25,15,2.2,rain,20,2012,7,14,Summer,20,0,19.478571428571428,2.000000000000006
2012-07-15,0,18.9,13.3,3.8,rain,16.1,2012,7,15,Summer,16.1,0,18.728571428571428,2.000000000000006
2012-07-16,0.3,26.1,13.3,2.5,rain,19.700000000000003,2012,7,16,Summer,19.700000000000003,0.3,18.842857142857145,0.8000000000000064
2012-07-17,0,21.7,15,2.6,sun,18.35,2012,7,17,Summer,18.35,0,18.964285714285715,0.8000000000000064
2012-07-18,0,21.1,14.4,2.9,sun,17.75,2012,7,18,Summer,17.75,0,18.564285714285717,0.8000000000000064
2012-07-19,0,25,14.4,2.2,sun,19.7,2012,7,19,Summer,19.7,0,18.6,0.8000000000000064
2012-07-20,15.2,19.4,13.9,4,rain,16.65,2012,7,20,Summer,16.65,15.2,18.321428571428573,15.500000000000005
2012-07-21,0,23.9,13.9,2.3,sun,18.9,2012,7,21,Summer,18.9,0,18.164285714285715,15.500000000000005
2012-07-22,1,20.6,12.2,3.9,rain,16.4,2012,7,22,Summer,16.4,1,18.20714285714286,16.500000000000007
2012-07-23,0,18.9,11.1,3.3,rain,15,2012,7,23,Summer,15,0,17.535714285714285,16.200000000000006
2012-07-24,0,23.3,12.2,4.3,sun,17.75,2012,7,24,Summer,17.75,0,17.45,16.200000000000006
2012-07-25,0,26.7,12.8,2.6,sun,19.75,2012,7,25,Summer,19.75,0,17.735714285714284,16.200000000000006
2012-07-26,0,25.6,12.8,2.2,drizzle,19.200000000000003,2012,7,26,Summer,19.200000000000003,0,17.664285714285715,16.200000000000006
2012-07-27,0,18.9,13.9,2.8,drizzle,16.4,2012,7,27,Summer,16.4,0,17.628571428571426,1.0000000000000064
2012-07-28,0,22.2,13.3,1.7,drizzle,17.75,2012,7,28,Summer,17.75,0,17.464285714285715,1.0000000000000064
2012-07-29,0,22.8,15,2,sun,18.9,2012,7,29,Summer,18.9,0,17.821428571428573,6.38378239159465e-15
2012-07-30,0,19.4,13.3,3,sun,16.35,2012,7,30,Summer,16.35,0,18.014285714285712,6.38378239159465e-15
2012-07-31,0,22.8,13.9,2.8,sun,18.35,2012,7,31,Summer,18.35,0,18.1,6.38378239159465e-15
2012-08-01,0,23.9,13.3,2.2,drizzle,18.6,2012,8,1,Summer,18.6,0,17.935714285714287,6.38378239159465e-15
2012-08-02,0,23.3,12.2,2.5,sun,17.75,2012,8,2,Summer,17.75,0,17.728571428571428,6.38378239159465e-15
2012-08-03,0,27.2,12.8,3.9,sun,20,2012,8,3,Summer,20,0,18.242857142857144,6.38378239159465e-15
2012-08-04,0,33.9,16.7,3.7,sun,25.299999999999997,2012,8,4,Summer,25.299999999999997,0,19.321428571428573,6.38378239159465e-15
2012-08-05,0,33.9,17.8,1.9,sun,25.85,2012,8,5,Summer,25.85,0,20.314285714285713,6.38378239159465e-15
2012-08-06,0,28.3,15.6,2.5,rain,21.95,2012,8,6,Summer,21.95,0,21.114285714285717,6.38378239159465e-15
2012-08-07,0,21.1,15,2.6,drizzle,18.05,2012,8,7,Summer,18.05,0,21.071428571428573,6.38378239159465e-15
